Var1,Var2,R value,P value
C_MN,C_FEO,0.764700000,0.453241781
C_MN,C_S2,0.121350000,0.233954791
C_MN,C_TIO2,-0.171200000,0.866652937
C_MN,C_V2O5,0.827000000,0.935353369
C_MN,BA,-0.443100000,0.663859762
C_MN,CCO,-0.867000000,0.395124221
C_MN,CCO2,-0.105920000,0.298859416
C_MN,CH2,0.537500000,0.598069498
C_MN,CN2,0.441800000,0.664785683
C_MN,C_CH4,0.895400000,0.379825743
C_MN,FOCA,-0.882600000,0.386675241
C_MN,POCA,-0.471300000,0.643902676
C_MN,OEF,0.754500000,0.459289702
C_MN,OEP,0.000000000,1.000000000
C_MN,TOHA,0.000000000,1.000000000
C_MN,POHA,-0.172080000,0.091436330
C_MN,AWS,0.174490000,0.086986706
C_MN,FOCW,-0.123740000,0.224871234
C_MN,BKE,-0.324600000,0.750207755
C_MN,FOTCW,0.000000000,1.000000000
C_MN,CIV,0.344400000,0.735525027
C_MN,FS,0.115350000,0.257895406
C_MN,FA,0.144270000,0.157050879
C_MN,NOCR,0.000000000,1.000000000
C_MN,BWOO,0.000000000,1.000000000
C_MN,BWOC,0.424600000,0.677084023
C_MN,TOMI,-0.854300000,0.402084279
C_MN,TFP,-0.133230000,0.191292477
C_MN,TFT,0.560000000,0.995617700
C_MN,SPOF,0.310950000,0.002284564
C_MN,PDOIF,-0.624000000,0.951198868
C_MN,PDOUF,0.219600000,0.829469617
C_MN,PDOCF,-0.356700000,0.726451961
C_MN,OER,-0.169520000,0.096361384
C_MN,TCT,-0.192090000,0.059541403
C_MN,UROCG,-0.688500000,0.499496452
C_MN,BGV,0.968800000,0.342004476
C_MN,TLOF,-0.162630000,0.110675327
C_MN,API,-0.235500000,0.817333072
C_MN,TOCW,0.217210000,0.033119934
C_MN,SWS,-0.193580000,0.057591809
C_MN,FOCG,0.000000000,1.000000000
C_MN,ABT,-0.296100000,0.771500527
C_MN,VST,0.000000000,1.000000000
C_P,C_C,-0.401600000,0.693664430
C_P,C_SI,0.340600000,0.738335632
