Var1,Var2,R value,P value
C_MN,PE,-0.253490800,0.803673359
C_MN,FOCA,-0.967035700,0.342934500
C_MN,POCA,-0.740330000,0.942121791
C_MN,OEF,-0.105954000,0.991709502
C_MN,OEP,-0.136517930,0.180610380
C_MN,TOHA,-0.625643000,0.951075649
C_MN,POHA,-0.524122600,0.607248834
C_MN,AWS,-0.159004300,0.876085205
C_MN,FOCW,0.824584800,0.418702363
C_MN,BKE,0.131080420,0.198601602
C_MN,FOTCW,-0.897038700,0.379003829
C_MN,CIV,-0.588792400,0.563651089
C_MN,FS,0.372239600,0.715072341
C_MN,FA,0.620230100,0.543016085
C_MN,NOCR,-0.210146230,0.039292783
C_MN,BWOO,-0.934935300,0.359194875
C_MN,BWOC,0.102770720,0.313508588
C_MN,TOMI,0.186436300,0.854926610
C_MN,TFP,-0.102094790,0.316702089
C_MN,TFT,-0.849776000,0.933583893
C_MN,SPOF,0.405634100,0.690775858
C_MN,PDOIF,0.156598130,0.124579079
C_MN,PDOUF,0.425700600,0.676326196
C_MN,PDOCF,-0.523039400,0.607991734
C_MN,OER,-0.182819000,0.985695589
C_MN,TCT,-0.274720500,0.787609774
C_MN,UROCG,0.437548300,0.667849966
C_MN,BGV,0.991917900,0.330659459
C_MN,TLOF,0.112634500,0.912045019
C_MN,API,-0.299745900,0.768789944
C_MN,TOCW,0.407672800,0.689302601
C_MN,SWS,-0.124781370,0.221041168
C_MN,FOCG,-0.682058600,0.503562559
C_MN,TOCA,0.490067000,0.961668155
C_MN,AH,-0.166058000,0.870635511
C_P,C_C,0.284933900,0.779913368
C_P,C_SI,-0.393063000,0.699886356
C_P,C_MN,0.108973170,0.285196246
C_P,C_P,1.000000000,0.000000000
C_P,C_S1,-0.651891800,0.522621512
C_P,C_CU,0.187515980,0.065899091
C_P,C_MO,0.645983600,0.526397181
C_P,C_CAO,-0.608838500,0.550449637
C_P,C_SIO2,-0.583347800,0.567262771
C_P,C_MGO,-0.185232570,0.069261471
C_P,C_AL2O3,0.676989600,0.506739216
C_P,C_FEO,-0.627431900,0.538342558
C_P,C_S2,-0.460909300,0.651261157
C_P,BA,-0.120035400,0.239109361
C_P,CCO,-0.600659400,0.555817625
C_P,CCO2,-0.815463700,0.423867740
C_P,CH2,0.722780000,0.994344440
C_P,CN2,0.853734700,0.402444697
C_P,C_SO2,0.117917300,0.907937694
C_P,PE,-0.115878650,0.255769612
C_P,FOCA,0.482690000,0.635948285
C_P,POCA,-0.640069600,0.530190452
C_P,OEF,-0.434087700,0.670321487
C_P,OEP,-0.213117000,0.983325314
C_P,TOHA,-0.211575220,0.037974838
C_P,POHA,-0.572339900,0.574598666
C_P,AWS,-0.520321700,0.609857422
C_P,FOCW,-0.111525670,0.274063128
C_P,BKE,0.792096500,0.437269607
C_P,FOTCW,0.944726600,0.354184551
C_P,CIV,-0.284126100,0.780521276
C_P,FS,-0.102399800,0.315258426
C_P,FA,-0.821967500,0.420180738
C_P,NOCR,0.728881100,0.474723445
C_P,BWOO,-0.319512100,0.754020322
C_P,BWOC,0.718399000,0.481099843
C_P,TOMI,0.101744400,0.920519331
C_P,TFP,0.512703700,0.615100696
C_P,TFT,-0.611473000,0.952182369
C_P,SPOF,0.195176000,0.984728902
C_P,PDOIF,-0.565206600,0.579376245
C_P,PDOUF,-0.340790000,0.997333401
C_P,PDOCF,-0.188428580,0.064593439
C_P,OER,0.183073100,0.857515376
C_P,TCT,0.146026600,0.152103063
C_P,UROCG,0.460409200,0.651614512
C_P,BGV,0.415915100,0.683358138
C_P,TLOF,0.774578000,0.939449367
C_P,API,0.126686410,0.214070971
C_P,TOCW,0.644278000,0.949620312
C_P,SWS,-0.314521000,0.757741549
C_P,FOCG,-0.735022500,0.471009255
C_P,TOCA,0.214901750,0.035051735
C_P,AH,0.565640500,0.579085087
C_S1,C_C,0.155889900,0.878493257
C_S1,C_SI,0.849624536,0.000000000
C_S1,C_MN,0.322960000,0.751453052
C_S1,C_P,-0.651891800,0.522621512
C_S1,C_S1,1.000000000,0.000000000
C_S1,C_CU,-0.166150650,0.103200267
C_S1,C_MO,0.168837700,0.868489576
C_S1,C_CAO,0.134897400,0.894753025
C_S1,C_SIO2,0.129611700,0.203678673
C_S1,C_MGO,-0.203311100,0.046146076
C_S1,C_AL2O3,-0.576631000,0.954904041
C_S1,C_FEO,0.909164261,0.000000000
C_S1,C_S2,0.223042500,0.826856083
C_S1,BA,-0.165403200,0.104760276
C_S1,CCO,-0.514126510,0.000000453
C_S1,CCO2,0.543372610,0.000000097
C_S1,CH2,0.655235900,0.520490643
C_S1,CN2,-0.323648600,0.750940660
C_S1,C_SO2,-0.149289700,0.883600294
C_S1,PE,0.614664200,0.546641870
C_S1,FOCA,0.715639960,0.000000000
C_S1,POCA,-0.362124940,0.000000000
C_S1,OEF,-0.446315000,0.965088061
C_S1,OEP,-0.271920800,0.789723137
C_S1,TOHA,-0.961496000,0.345706541
C_S1,POHA,0.570165400,0.576053098
C_S1,AWS,-0.804396760,0.000000000
C_S1,FOCW,0.668436200,0.512123349
C_S1,BKE,-0.557056200,0.584857780
C_S1,FOTCW,-0.789669000,0.438675741
C_S1,CIV,0.222454200,0.827305561
C_S1,FS,-0.793858700,0.436250511
C_S1,FA,-0.228905400,0.822379756
C_S1,NOCR,0.257328400,0.800763226
C_S1,BWOO,0.195676500,0.847822189
C_S1,BWOC,-0.232540900,0.819606966
C_S1,TOMI,-0.577227492,0.000000000
C_S1,TFP,-0.409737376,0.000000000
C_S1,TFT,-0.686020000,0.501087357
C_S1,SPOF,-0.631796700,0.535519882
C_S1,PDOIF,-0.686727520,0.000000000
C_S1,PDOUF,-0.602326450,0.000000003
C_S1,PDOCF,0.914596700,0.369743875
C_S1,OER,-0.673059878,0.000000000
C_S1,TCT,-0.866624216,0.000000000
C_S1,UROCG,-0.343045541,0.000000000
C_S1,BGV,0.107645670,0.291105595
C_S1,TLOF,-0.594422111,0.000000000
C_S1,API,0.111012337,0.000000000
C_S1,TOCW,0.164142840,0.107433129
C_S1,SWS,-0.110044570,0.280486494
C_S1,FOCG,-0.128694560,0.206896601
C_S1,TOCA,0.258386200,0.799961575
C_S1,AH,0.464569700,0.648677178
C_CU,C_C,-0.129838220,0.202889537
C_CU,C_SI,-0.132853280,0.192597154
C_CU,C_MN,0.476116400,0.640553893
C_CU,C_P,0.187515980,0.065899091
C_CU,C_S1,-0.166150650,0.103200267
C_CU,C_CU,1.000000000,0.000000000
C_CU,C_MO,-0.248870200,0.807180830
C_CU,C_CAO,-0.261670300,0.797474077
C_CU,C_SIO2,-0.914785000,0.928516142
C_CU,C_MGO,0.510338000,0.616732978
C_CU,C_AL2O3,-0.667297700,0.512842197
C_CU,C_FEO,-0.139874430,0.170125845
C_CU,C_S2,-0.671942500,0.509912623
C_CU,BA,-0.250743500,0.805758384
C_CU,CCO,-0.840108800,0.409996591
C_CU,CCO2,-0.884663000,0.385615627
C_CU,CH2,0.419477400,0.680795032
C_CU,CN2,0.531140500,0.602445474
C_CU,C_SO2,0.427372800,0.675127351
C_CU,PE,-0.951264200,0.350863853
C_CU,FOCA,-0.103621000,0.309521518
C_CU,POCA,0.304420800,0.765288980
C_CU,OEF,0.304733600,0.765054908
C_CU,OEP,-0.151504350,0.137313233
C_CU,TOHA,0.200186620,0.049599251
C_CU,POHA,0.479172900,0.638410730
C_CU,AWS,0.118364300,0.907590314
C_CU,FOCW,-0.184952400,0.856068620
C_CU,BKE,0.306106100,0.764028048
C_CU,FOTCW,-0.155760490,0.126607433
C_CU,CIV,-0.221153300,0.030075827
C_CU,FS,-0.544331900,0.593463293
C_CU,FA,0.230587490,0.023719297
C_CU,NOCR,0.128365840,0.208058901
C_CU,BWOO,0.151075400,0.882218077
C_CU,BWOC,0.107572760,0.291432513
C_CU,TOMI,0.164766750,0.106103328
C_CU,TFP,0.155557010,0.127104022
C_CU,TFT,0.885567000,0.930793464
C_CU,SPOF,0.186796400,0.854649502
C_CU,PDOIF,0.140115630,0.169390348
C_CU,PDOUF,0.296836200,0.770971379
C_CU,PDOCF,-0.721968600,0.478923159
C_CU,OER,0.608512800,0.550662944
C_CU,TCT,0.125450870,0.218573275
C_CU,UROCG,0.125257380,0.219284482
C_CU,BGV,-0.628272300,0.537798472
C_CU,TLOF,0.619628000,0.951545426
C_CU,API,0.206436700,0.839564655
C_CU,TOCW,0.989613000,0.331784414
C_CU,SWS,-0.990045400,0.331573198
C_CU,FOCG,0.557675500,0.584440380
C_CU,TOCA,0.465200700,0.648232173
C_CU,AH,0.136299220,0.181309832
C_MO,C_C,0.328942000,0.974265535
C_MO,C_SI,-0.558270900,0.584039302
C_MO,C_MN,-0.248472100,0.807483259
C_MO,C_P,0.645983600,0.526397181
C_MO,C_S1,0.168837700,0.868489576
C_MO,C_CU,-0.248870200,0.807180830
C_MO,C_MO,1.000000000,0.000000000
C_MO,C_CAO,-0.112629790,0.269340532
C_MO,C_SIO2,-0.634529000,0.950381635
C_MO,C_MGO,-0.531310000,0.602329657
C_MO,C_AL2O3,-0.300494500,0.768229017
C_MO,C_FEO,0.128840500,0.899452927
C_MO,C_S2,-0.766018000,0.452510594
C_MO,BA,0.106158080,0.297824749
C_MO,CCO,-0.658069800,0.518688390
C_MO,CCO2,0.358521900,0.725138670
C_MO,CH2,-0.362665000,0.971628282
C_MO,CN2,0.100299200,0.325288850
C_MO,C_SO2,0.507520300,0.618679607
C_MO,PE,-0.126268360,0.215586800
C_MO,FOCA,-0.585694800,0.565704557
C_MO,POCA,0.912960900,0.370600605
C_MO,OEF,0.174610320,0.086801997
C_MO,OEP,0.851202000,0.933472765
C_MO,TOHA,-0.187580000,0.854046646
C_MO,POHA,0.185418070,0.068983151
C_MO,AWS,0.960797000,0.924930973
C_MO,FOCW,-0.165926970,0.103665159
C_MO,BKE,-0.114949100,0.910245186
C_MO,FOTCW,-0.151500050,0.137324387
C_MO,CIV,-0.196964470,0.053384775
C_MO,FS,-0.129941100,0.898598613
C_MO,FA,-0.121008120,0.235323800
C_MO,NOCR,-0.252879200,0.804137404
C_MO,BWOO,-0.209579490,0.039826124
C_MO,BWOC,0.509400900,0.617380101
C_MO,TOMI,0.179168990,0.078878474
C_MO,TFP,0.264053600,0.795670098
C_MO,TFT,-0.505619500,0.619994281
C_MO,SPOF,-0.317296000,0.975176372
C_MO,PDOIF,0.235742700,0.817166830
C_MO,PDOUF,-0.119458160,0.241376050
C_MO,PDOCF,0.130069860,0.202084876
C_MO,OER,0.605253900,0.552799087
C_MO,TCT,-0.271589100,0.789973643
C_MO,UROCG,-0.379048000,0.710094326
C_MO,BGV,-0.104949290,0.303360334
C_MO,TLOF,0.873727700,0.391516127
C_MO,API,-0.150989920,0.138653162
C_MO,TOCW,0.113529950,0.265531934
C_MO,SWS,-0.367615700,0.718460027
C_MO,FOCG,-0.518165100,0.611339725
C_MO,TOCA,-0.358736700,0.724980709
C_MO,AH,0.167547700,0.869485398
C_CAO,C_C,-0.525872800,0.606049275
C_CAO,C_SI,-0.610430900,0.549407513
C_CAO,C_MN,0.477520000,0.996263529
C_CAO,C_P,-0.608838500,0.550449637
C_CAO,C_S1,0.134897400,0.894753025
C_CAO,C_CU,-0.261670300,0.797474077
C_CAO,C_MO,-0.112629790,0.269340532
C_CAO,C_CAO,1.000000000,0.000000000
C_CAO,C_SIO2,-0.126640260,0.214237917
C_CAO,C_MGO,-0.142614720,0.161909753
C_CAO,C_AL2O3,0.118273800,0.907660661
C_CAO,C_FEO,0.600300500,0.556053738
C_CAO,C_S2,0.239512860,0.018813187
C_CAO,BA,-0.152910910,0.133700575
C_CAO,CCO,-0.136700010,0.180029576
C_CAO,CCO2,0.316701500,0.756115111
C_CAO,CH2,0.156614360,0.124540027
C_CAO,CN2,0.224196330,0.027881897
C_CAO,C_SO2,-0.530852600,0.602642147
C_CAO,PE,-0.654255000,0.948841186
C_CAO,FOCA,0.415963500,0.683323307
C_CAO,POCA,0.260339100,0.798482099
C_CAO,OEF,0.523751400,0.607503361
C_CAO,OEP,-0.196877500,0.053490194
C_CAO,TOHA,-0.928126000,0.362705369
C_CAO,POHA,-0.250541000,0.805912103
C_CAO,AWS,0.640261400,0.530067203
C_CAO,FOCW,0.150019400,0.883035417
C_CAO,BKE,-0.132683840,0.193165196
C_CAO,FOTCW,-0.348181500,0.732758368
C_CAO,CIV,-0.277252500,0.785699774
C_CAO,FS,0.728255500,0.475102744
C_CAO,FA,0.791962600,0.437347110
C_CAO,NOCR,0.341294700,0.737847832
C_CAO,BWOO,-0.148347930,0.145693857
C_CAO,BWOC,-0.431664900,0.672053924
C_CAO,TOMI,-0.340452700,0.738470844
C_CAO,TFP,-0.393941000,0.969182751
C_CAO,TFT,0.754381800,0.459406728
C_CAO,SPOF,-0.344976800,0.735125186
C_CAO,PDOIF,-0.101886310,0.317691374
C_CAO,PDOUF,0.103162310,0.311668171
C_CAO,PDOCF,0.211140730,0.038371533
C_CAO,OER,0.159407780,0.117960141
C_CAO,TCT,0.491901900,0.629517969
C_CAO,UROCG,0.248920000,0.807143033
C_CAO,BGV,0.184217590,0.070800634
C_CAO,TLOF,0.203578600,0.045860080
C_CAO,API,0.590133000,0.953849266
C_CAO,TOCW,-0.203865200,0.841536515
C_CAO,SWS,0.918230000,0.928247663
C_CAO,FOCG,0.701623500,0.491400798
C_CAO,TOCA,0.962887000,0.924768197
C_CAO,AH,-0.731060000,0.942845283
C_SIO2,C_C,-0.168767540,0.097883580
C_SIO2,C_SI,0.168461930,0.098492957
C_SIO2,C_MN,0.204705300,0.840892214
C_SIO2,C_P,-0.583347800,0.567262771
C_SIO2,C_S1,0.129611700,0.203678673
C_SIO2,C_CU,-0.914785000,0.928516142
C_SIO2,C_MO,-0.634529000,0.950381635
C_SIO2,C_CAO,-0.126640260,0.214237917
C_SIO2,C_SIO2,1.000000000,0.000000000
C_SIO2,C_MGO,0.193868760,0.057246058
C_SIO2,C_AL2O3,-0.119200300,0.242393472
C_SIO2,C_FEO,0.915369700,0.369339460
C_SIO2,C_S2,0.103142640,0.311760484
C_SIO2,BA,-0.445277300,0.662343087
C_SIO2,CCO,-0.714792000,0.483304724
C_SIO2,CCO2,0.341589000,0.737630059
C_SIO2,CH2,0.131431070,0.197403276
C_SIO2,CN2,0.299036400,0.769321713
C_SIO2,C_SO2,-0.131531310,0.197061690
C_SIO2,PE,-0.532380500,0.601598513
